5 hexa 6 8 bubble
-0.591867 21.4753 0.734801 -12.8847 397.342 
16.6209 40.7562 -1.16374 -12.6679 308.069 
38.0232 22.4023 6.86887 -1.71395 169.298 
16.7579 32.2115 2.83625 -14.5937 357.018 
-0.163543 9.76449 0.42766 9.14423 249.505 
29.4134 58.5036 -10.6207 0.609696 113.655 
4.19947 48.3263 -16.7659 -18.6707 388.897 
33.7643 64.8988 -6.41299 -13.6525 375.649 
46.2464 17.6912 3.27946 3.83093 288.868 
18.3064 11.586 -14.8132 -12.0437 89.9415 
46.2672 36.8443 5.67532 -17.2072 252.457 
18.2284 6.91498 -3.60178 -5.44448 299.184 
14.6371 34.4411 -14.6238 -6.04694 91.0721 
50.7741 45.7133 -1.34914 -8.83113 87.9803 
33.5458 19.4211 -13.965 -5.24076 401.894 
48.14 56.2816 -13.6396 -17.0758 91.7725 
-3.25546 25.9041 -1.65469 -11.7111 114.846 
14.9613 54.6547 6.22833 6.44274 337.697 
11.0596 27.7618 -9.3921 -3.04075 258.3 
7.65034 54.5002 6.99618 -13.7257 335.756 
49.2238 34.4354 4.74832 -19.2793 248.595 
45.1712 34.3629 6.81317 -12.849 162.484 
17.4515 52.4556 -15.3829 -9.37613 90.4918 
3.67057 21.7137 -5.25843 1.41762 160.083 
16.3469 12.5015 -9.91408 1.38628 361.381 
6.30641 8.49232 -11.7792 -17.0226 301.245 
8.37 19.5222 -11.8699 -18.0743 365.253 
38.677 64.1835 -0.494558 8.42337 337.957 
47.0787 39.9704 5.71271 -4.74365 352.015 
11.3128 40.7829 -13.6889 -6.79479 298.404 
39.381 54.0539 3.83884 -5.13716 213.284 
3.56383 30.4187 -1.28752 5.42563 233.678 
10.5178 41.073 -11.8125 -0.63622 307.868 
1.83762 28.5285 4.10062 -5.82058 199.766 
7.6278 10.0601 -13.9125 -15.4416 147.015 
21.0793 12.6178 5.61882 0.164818 366.364 
15.2492 21.9865 0.118928 4.39508 242.561 
5.66432 15.0601 0.676732 -10.5934 262.603 
21.5931 22.1086 -2.86247 0.0424805 404.868 
4.18778 46.203 1.60504 5.70063 215.436 
4.52028 9.87511 -7.91687 5.55647 235.847 
21.1256 25.4871 -8.58887 -2.72213 183.897 
34.9278 34.5346 -16.4874 -3.16002 192.061 
5.30352 50.6991 -10.8585 -7.04899 332.561 
6.24065 34.1827 -1.3274 -1.41637 235.842 
29.833 62.5032 -12.7325 -3.98187 225.521 
0.845509 42.0928 3.26427 -14.902 226.757 
35.2452 50.7981 1.36068 -0.289775 406.412 
